#   Do Not Change the contents of this file

    board level debug info for the default TVS configuration can be found here 
    these are the values referenced and used in pinMap.py

Test      Connector    Loopback    Signal_Pair      Standard    Info
0         J1           A           RS422[0,2]       RS422       (U600|9,10,11|U601|3,2,1|9p->17p|10n->4n)
1         J1           A           RS422[1,3]       RS422       (U600|15,14,13|U601|5,6,7|12p->14p|11n->1n)
2         J1           A           RS422[2,6]       RS422       (U605|9,10,11|U601|11,10,9|13p->15p|25n->2n)
3         J1           B           RS422[3,2]       RS422       (U600|9,10,11|U601|13,14,15|9p->3p|10n->16n)
4         J1           B           RS422[4,3]       RS422       (U600|15,14,13|U602|3,2,1|12p->21p|11n->8n)
5         J1           B           RS422[5,6]       RS422       (U605|9,10,11|U602|5,6,7|13p->5p|25n->18n)
6         J1           C           RS422[6,2]       RS422       (U600|9,10,11|U602|11,10,9|9p->19p|10n->6n)
7         J1           C           RS422[7,3]       RS422       (U600|15,14,13|U602|13,14,15|12p->7p|11n->20n)
8         J2           A           RS422[8,1]       RS422       (U600|7,6,5|U603|3,2,1|10n->4p|9p->17n)
9         J2           A           RS422[9,5]       RS422       (U605|7,6,5|U603|5,6,7|13p->15p|25n->2n)
10        J2           A           RS422[10,0]      RS422       (U600|1,2,3|U603|11,10,9|12p->14p|11n->1n)
11        J2           B           RS422[11,1]      RS422       (U600|7,6,5|U603|13,14,15|9p->3p|10n->16n)
12        J2           B           RS422[12,0]      RS422       (U600|1,2,3|U604|3,2,1|11n->8p|12p->21n)
13        J2           C           RS422[13,1]      RS422       (U600|7,6,5|U604|5,6,7|9p->19p|10n->6n)
14        J2           B           RS422[14,5]      RS422       (U605|7,6,5|U604|11,10,9|25n->18p|13p->5n)
15        J2           C           RS422[15,0]      RS422       (U600|1,2,3|U604|13,14,15|12p->7p|11n->20n)
16        J3           A           RS422[16,9]      RS422       (U706|7,6,5|U704|3,2,1|3p->11p|21n->29n)
17        J3           A           RS422[17,10]     RS422       (U706|9,10,11|U704|5,6,7|22p->26p|4n->8n)
18        J3           A           RS422[18,11]     RS422       (U706|15,14,13|U704|11,10,9|24p->9p|5n->27n)
19        J3           A           RS422[19,7]      RS422       (U605|15,14,13|U704|13,14,15|1p->28p|20n->10n)
20        J4           B           RS422[20,14]     RS422       (U707|9,10,11|U700|3,2,1|21p->12p|3n->30n)
21        J4           A           RS422[21,4]      RS422       (U605|1,2,3|U700|5,6,7|1p->28p|20n->10n)
22        J4           A           RS422[22,14]     RS422       (U707|9,10,11|U700|11,10,9|21n->29p|3p->11n)
23        J4           B           RS422[23,13]     RS422       (U707|7,6,5|U700|13,14,15|22p->13p|4n->31n)
24        J4           A           RS422[24,12]     RS422       (U707|1,2,3|U701|3,2,1|7p->33p|25n->15n)
25        J4           A           RS422[25,13]     RS422       (U707|7,6,5|U701|5,6,7|22p->26p|4n->8n)
26        J4           A           RS422[26,15]     RS422       (U707|15,14,13|U701|11,10,9|5n->27p|24p->9n)
27        J4           B           RS422[27,15]     RS422       (U707|15,14,13|U701|13,14,15|5n->14p|24p->32n)
28        J3           A           RS422[28,8]      RS422       (U706|1,2,3|U702|3,2,1|25p->15p|7n->33n)
29        J3           B           RS422[29,9]      RS422       (U706|7,6,5|U702|5,6,7|3p->30p|21n->12n)
30        J3           B           RS422[30,10]     RS422       (U706|9,10,11|U702|11,10,9|22p->13p|4n->31n)
31        J3           B           RS422[31,11]     RS422       (U706|15,14,13|U702|13,14,15|24p->32p|5n->14n)
32        J4           C           RS422[32,14]     RS422       (U707|9,10,11|U703|3,2,1|3p->35p|21n->17n)
33        J3           B           RS422[33,7]      RS422       (U605|15,14,13|U703|5,6,7|1p->37p|20n->19n)
